will_end_trend_at_period_t+1_or_not,t_period_log_views_per_day_percentage_change,appeared_times
False,-3.060005483357814,1
False,-3.8284988754018805,2
False,-3.202434471050933,3
False,-4.297989278681313,4
False,-4.439374318897277,5
False,-4.525896316521566,6
False,-4.85368839739916,7
False,-4.990116989148811,8
False,-5.1915146865246244,9
False,-5.223524366024441,10
False,-5.093394200749456,11
False,-4.899233441355683,12
True,-5.089859620869363,13
False,-1.2310520012058086,1
True,-2.7451902986580894,2
False,-1.6243746740134684,1
False,-2.2508640055340665,2
False,-2.4934529197671464,3
False,-2.5757686965997952,4
False,-2.5640035862514043,5
False,-2.701753168190597,6
False,-2.875812049256399,7
False,-2.9947661657555322,8
False,-3.1041071201373063,9
False,-3.5240406105360567,10
False,-3.5571912703025865,11
False,-3.5856523427754508,12
True,-3.752234785101602,13
False,0.578272371938272,1
False,-1.8886097328527232,2
False,-2.956975746069504,3
False,-5.096408002587981,4
False,-5.332644631688448,5
False,-4.0133719850402585,6
False,-4.511843886048713,7
False,-5.931958387417365,8
False,-6.265689542414043,9
False,-6.509728193496888,10
False,-6.889652406284283,11
False,-6.900720491777825,12
True,-6.871874081473266,13
False,0.578272371938272,1
False,-1.8886097328527232,2
False,-2.956975746069504,3
False,-5.096408002587981,4
False,-5.332644631688448,5
False,-4.0133719850402585,6
False,-4.511843886048713,7
False,-5.931958387417365,8
False,-6.265689542414043,9
False,-6.509728193496888,10
False,-6.889652406284283,11
False,-6.900720491777825,12
True,-6.871874081473266,13
False,0.578272371938272,1
False,-1.8886097328527232,2
False,-2.956975746069504,3
False,-5.096408002587981,4
False,-5.332644631688448,5
False,-4.0133719850402585,6
False,-4.511843886048713,7
False,-5.931958387417365,8
False,-6.265689542414043,9
False,-6.509728193496888,10
False,-6.889652406284283,11
False,-6.900720491777825,12
True,-6.871874081473266,13
False,-1.7969040466742146,1
False,-2.1914924899289088,2
False,-2.1597568778668106,3
False,-1.7933346321788244,4
False,-1.8236656708484031,5
False,-2.0610808134363765,6
False,-2.2081875582340778,7
False,-2.2180632921129253,8
False,-2.270404707142896,9
False,-2.397652059487562,10
False,-2.431326813220284,11
False,-2.459280945025112,12
True,-2.65307986491423,13
False,-1.7969040466742146,1
False,-2.1914924899289088,2
False,-2.1597568778668106,3
False,-1.7933346321788244,4
False,-1.8236656708484031,5
False,-2.0610808134363765,6
False,-2.2081875582340778,7
False,-2.2180632921129253,8
False,-2.270404707142896,9
False,-2.397652059487562,10
False,-2.431326813220284,11
False,-2.459280945025112,12
True,-2.65307986491423,13
False,-1.7777602818505511,1
False,-2.5569748599299698,2
False,-2.5944380218822345,3
False,-2.5207564461228613,4
False,-2.520641147336758,5
False,-2.613622582100144,6
False,-2.7213473344265156,7
False,-2.6697358870809396,8
False,-2.803293403240213,9
False,-2.977072301924149,10
False,-2.939556497959485,11
True,-3.1422199571962732,12
False,-1.0211677953869702,1
False,-1.6700180369655107,2
False,-1.9268925070812801,3
False,-1.8335397557150472,4
False,-2.2123873761395427,5
False,-2.553637200204137,6
False,-2.774095412799394,7
False,-2.8852074246798383,8
False,-3.0031623128786222,9
False,-2.988199905970285,10
True,-3.0121116185418435,11
False,-2.153265660711098,1
False,-2.911287946643162,2
False,-3.2512852542009356,3
False,-3.105682123007831,4
False,-3.0905422389702952,5
False,-3.27557228766258,6
