will_end_trend_at_period_t+1_or_not,t_period_log_views_per_day_percentage_change,appeared_times
False,0.6546455283050429,1
False,-2.773641094540199,2
False,-3.4273369171475396,3
False,-3.571020009783664,4
False,-3.7754922870893273,5
True,-4.143834813841909,6
False,-0.08881017864630109,1
False,-2.322198835501074,2
False,-2.811310053693324,3
False,-2.996451369972465,4
False,-3.1944426126538863,5
True,-3.306795130965807,6
False,-1.0336174545731518,1
False,-2.8538315286060416,2
False,-3.345513174238151,3
False,-3.1047212587270674,4
False,-3.1620334975047206,5
True,-3.497215474209301,6
False,0.22339296071637238,1
False,-2.636317104091949,2
False,-3.1390932341706788,3
False,-3.6875333555992036,4
False,-4.288188603382742,5
True,-4.020044574385553,6
False,-1.6220453790409244,1
False,-3.516566538694224,2
False,-3.5741644348961192,3
False,-3.413137591435764,4
True,-3.599822765896936,5
False,1.680548805592647,1
False,-2.0128471588375345,2
False,-2.763359079964422,3
False,-2.963015808883875,4
False,-3.169844855681238,5
True,-3.326051954412303,6
False,-1.740109960863653,1
False,-3.259673064740258,2
False,-3.7077983496846803,3
True,-3.809431189529539,4
False,-1.066096747420072,1
False,-2.9958032291531,2
False,-3.366536337484919,3
False,-3.6788081824375243,4
True,-3.802882075162393,5
True,0.8039460633708394,1
True,0.3921699285108826,1
True,0.3921699285108826,1
False,0.02387645724317276,1
False,-3.214318075770378,2
False,-4.003702002061326,3
False,-4.268984077962923,4
True,-4.308707579999767,5
False,0.8430478933417161,1
False,-1.4626424450269735,2
False,-1.9164451156614093,3
False,-1.5658016784129511,4
False,-1.519967595621267,5
True,-1.8988726025823384,6
False,-1.304091043979396,1
False,-2.9909949522009627,2
False,-3.130361875445564,3
True,-3.2186018959220757,4
False,-1.0647492860075056,1
False,-3.2491290837164213,2
False,-3.7796710693464113,3
True,-4.0442997622114705,4
False,3.8684235782748866,1
True,-0.7045238273608164,2
False,-1.5504746833812486,1
False,-3.987216429180637,2
False,-4.5678116597670835,3
True,-4.849676713076224,4
False,1.0322691686779384,1
False,-1.9765171300687363,2
False,-2.9286793070608943,3
False,-3.3536272771550557,4
True,-3.4904182135712034,5
False,0.8690102463730971,1
False,-1.99963900951131,2
False,-2.7476825072307363,3
False,-3.149809845765546,4
True,-3.2420152351467255,5
True,-1.272612856267491,1
False,0.7998773306825744,1
False,-1.7225079668715055,2
False,-2.7724138023446963,3
False,-2.803047180244436,4
False,-2.9357016002772247,5
True,-3.474656300959028,6
False,-0.8991366049967929,1
False,-3.2069758599584066,2
False,-3.6571116973260533,3
True,-3.890403339225274,4
False,0.11569894583611617,1
False,-3.1416097625065724,2
False,-3.708192515622674,3
False,-3.9505694230954735,4
True,-4.3900360096853195,5
False,-0.6120617756891249,1
True,-2.9258214845500166,2
False,1.0480415525811593,1
False,-2.548469277252594,2
False,-4.077126556808878,3
False,-4.053804097273369,4
False,-4.309221743545979,5
True,-3.604525187581721,6
False,-1.5049990279267143,1
False,-2.4117172286532753,2
False,-2.915875516556408,3
True,-3.358691260321408,4
False,-0.04093558335975749,1
False,-2.300519870406549,2
False,-3.142153392835833,3
True,-3.197561027588016,4
False,-0.08963001939405428,1
False,-2.5866850170510873,2
False,-3.4037721324091446,3
True,-3.346707780134551,4
False,0.6988567917600987,1
False,-3.9669700060969983,2
False,-4.524989327401507,3
False,-5.393523710781663,4
True,-5.5513643496304645,5
False,-1.9008030126736661,1
False,-6.070977199797278,2
True,-6.535906976130887,3
False,0.902992429518844,1
False,-0.49470562400833806,2
False,-0.30695679400358256,3
False,-0.7923812430142763,4
False,-1.9613211611936576,5
True,-2.6152223947216355,6
False,-1.6243576790124723,1
False,-2.2508640055340665,2
False,-2.4934529197671464,3
True,-2.5757686965997952,4
False,-0.3902040180816867,1
False,-1.7440703423367867,2
False,-2.727641291537303,3
True,-3.1909954625987496,4
False,0.188767941136697,1
False,-1.2206188859988996,2
False,-2.340807206877092,3
True,-2.6735532213249558,4
False,-1.510529669719346,1
False,-4.644134345646493,2
True,-5.226968942116335,3
False,-1.510529669719346,1
False,-4.644134345646493,2
True,-5.226968942116335,3
False,1.3589607524911853,1
False,-1.4477161103811662,2
False,-1.9324327446752212,3
False,-2.177812484444575,4
True,-2.9352070012726297,5
False,-1.1124985848505748,1
False,-2.6286929548124855,2
True,-3.135090003076048,3
False,0.9711753238533615,1
False,-1.0248162893227737,2
False,-1.5981322397775988,3
False,-1.9501624462629275,4
False,-2.317036027915594,5
True,-2.5524276094309504,6
False,0.9071391431916349,1
False,-1.3338742878512886,2
False,-1.7763866690001469,3
False,-1.8347740965621246,4
False,-2.120262611386938,5
True,-2.3623384371265383,6
False,0.9071391431916349,1
False,-1.3338742878512886,2
False,-1.7763866690001469,3
False,-1.8347740965621246,4
False,-2.120262611386938,5
True,-2.3623384371265383,6
False,3.0818128824163264,1
False,-3.6552873945641506,2
False,-5.215886392568877,3
True,-5.61434391200896,4
False,-2.3316326501936024,1
False,-2.820299582441559,2
True,-3.495583149731067,3
False,-2.5184835682719036,1
False,-4.5969143591891175,2
True,-5.005574240513594,3
False,-1.5169368340293996,1
False,-3.562602363175058,2
True,-4.107657356861586,3
False,0.20156189560336107,1
False,-2.0860382595018416,2
False,-2.6451825534660904,3
True,-3.128963419446789,4
True,-2.7850583061558534,1
False,1.9758486319235486,1
False,-1.708646524454019,2
False,-2.7801988332559198,3
True,-4.221230065447518,4
False,-2.275553552365974,1
False,-3.4359132186451684,2
True,-3.9219503569065903,3
False,-2.5817313337742376,1
True,-2.9651891036993105,2
False,-0.6382915689062089,1
False,-3.1663954068425055,2
True,-3.794035207430075,3
True,-2.243785202566263,1
False,-1.0211677953869702,1
False,-1.6700180369655107,2
True,-1.9268925070812801,3
False,-2.5590700531241186,1
False,-3.9909359290526867,2
True,-4.707506666644502,3
False,-2.5590700531241186,1
False,-3.9909359290526867,2
True,-4.707506666644502,3
False,-2.2184448403063453,1
False,-2.866378016178738,2
True,-3.7712322686961266,3
False,0.9388550810827891,1
True,-2.004581810440476,2
False,1.8855251504785637,1
True,-0.2036574590644811,2
False,-3.3903407782692803,1
True,-3.972796515487226,2
False,-3.721173069817003,1
True,-4.680963496616444,2
False,1.5557602583093915,1
False,-2.7691122830689974,2
False,-3.9385567405400015,3
False,-4.27888223686115,4
True,-4.627368454365323,5
False,-3.5621661953432175,1
True,-4.09436012052895,2
False,-0.9293910794202372,1
False,-1.5927864256767312,2
True,-1.8130298939515421,3
False,0.23850216663447293,1
False,-2.888423260450707,2
True,-3.9036507825292426,3
False,-2.232071506509091,1
False,-3.3468336398658245,2
True,-3.87479458535561,3
False,-2.7350227963468323,1
True,-3.2857402698227394,2
False,-2.463737853515164,1
False,-3.2101103113297365,2
True,-3.4302258219211352,3
False,0.6448746338827521,1
True,-0.7072092256637518,2
False,-3.060005483357814,1
False,-3.8284988754018805,2
True,-3.202434471050933,3
False,-1.7969040466742146,1
True,-2.1914924899289088,2
False,-2.6325564775335413,1
True,-3.0037827569577007,2
False,-2.6674972939815826,1
True,-3.9087724915956406,2
False,-3.57556710854272,1
True,-5.019329154797632,2
False,-1.744291799026907,1
False,-2.61105045143092,2
True,-2.924567705188413,3
False,-2.255573021649434,1
False,-3.3987577832130245,2
True,-3.9689055459427127,3
False,-2.255573021649434,1
False,-3.3987577832130245,2
True,-3.9689055459427127,3
False,-0.7489984827781047,1
False,-1.3106460741740134,2
True,-1.4602427640761075,3
False,-0.7489984827781047,1
False,-1.3106460741740134,2
True,-1.4602427640761075,3
False,-1.9920659224786015,1
True,-3.7056779190885227,2
False,-2.7375718281619017,1
True,-3.9746075020273706,2
False,-1.5120242771042403,1
True,-2.7536571690834992,2
True,-2.6562706593996994,1
False,-1.1812833810664256,1
False,-2.6296438282480286,2
True,-2.8431276292680097,3
False,-1.9772247038198272,1
True,-3.279107508580006,2
False,-1.515062803136554,1
True,-2.096179385160633,2
False,-1.9666472049267054,1
True,-2.759434678265698,2
False,-1.81723855452904,1
True,-2.661858134966034,2
False,-1.7685381029927596,1
True,-2.639073359751916,2
False,-1.2651960940494886,1
True,-1.8983229785264037,2
False,-3.3536855684882525,1
True,-3.9807641184422486,2
False,-2.1483251087843644,1
False,-2.9903845017923665,2
True,-3.3006769634534137,3
False,-4.490067378837587,1
True,-5.048660159958035,2
False,-2.432064595979274,1
True,-3.885504789120863,2
True,-3.2366758787403476,1
False,-1.456914577882854,1
True,-2.212261342244442,2
False,-1.0595464830385883,1
True,-1.5995939447826415,2
False,-2.1658393094886,1
True,-2.6710020533324306,2
False,-2.7293992522829695,1
True,-3.6995323734297227,2
False,-1.911869097183569,1
True,-2.5985887242142964,2
True,-2.5375804138363476,1
False,-1.29822250542838,1
True,-2.2061016241653264,2
False,-1.29822250542838,1
True,-2.2061016241653264,2
False,-1.29822250542838,1
True,-2.2061016241653264,2
True,-3.087049320983235,1
True,-3.087049320983235,1
True,-2.4110372643930362,1
True,-1.4379154648013728,1
True,-1.7805178964015373,1
False,-1.8956608223068907,1
True,-3.0233399769070965,2
True,-1.2625271495243686,1
True,-1.4615603067873202,1
True,-3.1062773215041766,1
True,-1.3002600237780875,1
True,-2.8201907143294513,1
True,-2.7598636968123604,1
True,-2.7598636968123604,1
True,-2.1954612798708832,1
True,-2.474828027744997,1
True,-3.0483410288739097,1
True,-2.5826085975924937,1
True,-2.5826085975924937,1
True,-3.2987239623783027,1
True,-1.8397866785010915,1
True,-1.9062376599263875,1
True,-2.309354965979992,1
True,-2.309354965979992,1
True,-2.323497992392736,1
True,-1.4345983760319287,1
True,-1.772683421307513,1
True,-3.1927278370163776,1
True,-2.7428799408306235,1
True,-3.282959299992769,1
True,-1.8842895119951462,1
True,-5.059355370539188,1
True,-5.059355370539188,1
True,-1.7777602818505511,1
True,-3.028540850889787,1
True,-3.028540850889787,1
True,-3.028540850889787,1
True,-1.7659038937528475,1
True,-1.8304557036162434,1
True,-1.8304557036162434,1
True,-1.8304557036162434,1
True,-1.8304557036162434,1
True,-1.8304557036162434,1
True,-1.8304557036162434,1
True,-1.8304557036162434,1
True,-1.8304557036162434,1
True,-1.8304557036162434,1
True,-1.8058344528469006,1
True,-1.8058344528469006,1
True,-3.1853663023832355,1
True,-3.1853663023832355,1
True,-3.1853663023832355,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
True,-1.4392471847702697,1
